lineId,lineName,startNode,startName,stopNode,stopName
116812115334924973,31140盛余1线,117375065288346456,陕西.新盛变1号主变-高,117375065288343933,陕西.户县二厂0号启备变-高
116812115334924975,31141盛余2线,117375065288346456,陕西.新盛变1号主变-高,117375065288343933,陕西.户县二厂0号启备变-高
116812115334924976,31141盛余2线,117375065288346456,陕西.新盛变1号主变-高,117375065288347589,陕西.户县二厂1号厂用变-高
116812115334924977,30527盛寨1线,117375065288346456,陕西.新盛变1号主变-高,117375065288343966,陕西.河寨变1号主变-高
116812115334924979,30611盛寨2线,117375065288346456,陕西.新盛变1号主变-高,117375065288343966,陕西.河寨变1号主变-高
116812115334924980,30611盛寨2线,117375065288343966,陕西.河寨变1号主变-高,117375065288346456,陕西.新盛变1号主变-高
116812115334925045,31119当沙2线,117375065288344962,陕西.大保当变1号主变-高,117375065288346879,陕西.沙井变2号主变-高
116812115334925046,31118当沙1线,117375065288344962,陕西.大保当变1号主变-高,117375065288346879,陕西.沙井变2号主变-高
116812115334925047,3008当滩1线,117375065288344962,陕西.大保当变1号主变-高,117375065288348473,陕西.曹家滩变1号主变-高
116812115334925048,30541当滩2线,117375065288344962,陕西.大保当变1号主变-高,117375065288348473,陕西.曹家滩变1号主变-高
116812115334925049,30945龙榆线,117375065288347576,陕西.龙泉变1号主变-高,117375065288343598,陕西.榆林变1号主变-高
116812115334925050,30945龙榆线,117375065288343598,陕西.榆林变1号主变-高,117375065288347576,陕西.龙泉变1号主变-高
116812115334925051,31116龙横1线,117375065288347576,陕西.龙泉变1号主变-高,117375065288345316,陕西.榆横变#1站用
116812115334925052,31116横龙1线,117375065288345316,陕西.榆横变#1站用,117375065288347576,陕西.龙泉变1号主变-高
116812115334925066,30937硖宝2线,117375065288344996,陕西.硖石变1号主变-高,117375065288345518,陕西.宝鸡换流站#1站用变
116812115334925169,30622延地线,117375065288344910,陕西.延安变1号主变-高,117375065288347495,陕西.圣地电厂0号启备变-高
116812115334925270,3S1814化泾线,117375065288345394,陕西.煤化变1号主变-高,117375065288346683,陕西.泾渭变1号站用变-高
116812115334925272,3134化蒲1线,117375065288345394,陕西.煤化变1号主变-高,117375065288343823,陕西.蒲城电厂1号甲启备变-高
116812115334925278,3S2312咸泉线,117375065288345400,陕西.咸林变2号主变-高,117375065288348832,陕西.灵泉变1号主变-高
116812115334925280,3822咸东1线,117375065288345400,陕西.咸林变2号主变-高,117375065288343706,陕西.东郊变1号主变-高
116812115334925286,31327咸罗1线,117375065288345400,陕西.咸林变2号主变-高,117375065288343667,陕西.罗敷变1号主变-高
116812115334925288,31328咸罗2线,117375065288345400,陕西.咸林变2号主变-高,117375065288343667,陕西.罗敷变1号主变-高
116812115334925294,31412秦罗3线,117375065288343612,陕西.秦岭二厂7号联变-高,117375065288343667,陕西.罗敷变1号主变-高
116812115334925296,3S2209秦潼线,117375065288343612,陕西.秦岭二厂7号联变-高,117375065288348203,陕西.潼关变1号主变-高
116812115334925300,3984横云1线,117375065288345316,陕西.榆横变#1站用,117375065288346358,陕西.青云电厂0号启备变-高
116812115334925366,31413香太1线,117375065288345499,陕西.香溪变1号主变-高,117375065288347775,陕西.太极城水电厂1号主变-高
116812115334925367,3S2112金太1线,117375065288344573,陕西.金州变1号主变-高,117375065288347775,陕西.太极城水电厂1号主变-高
116812115334925368,31414香金2线,117375065288345499,陕西.香溪变1号主变-高,117375065288344573,陕西.金州变1号主变-高
116812115334925369,31414金香2线,117375065288344573,陕西.金州变1号主变-高,117375065288345499,陕西.香溪变1号主变-高
116812115334925405,39811段归1线,117375065288343652,陕西.段家变1号主变-高,117375065288346275,陕西.归心变1号主变-高
116812115334925415,31498盛山2线,117375065288346456,陕西.新盛变1号主变-高,117375065288348943,陕西.关山变1号主变-高
116812115334925416,31498山盛2线,117375065288349008,陕西.南山变1号主变,117375065288346456,陕西.新盛变1号主变-高
116812115334925417,31497盛山1线,117375065288346456,陕西.新盛变1号主变-高,117375065288348943,陕西.关山变1号主变-高
116812115334925418,31497山盛1线,117375065288349008,陕西.南山变1号主变,117375065288346456,陕西.新盛变1号主变-高
116812115334925419,31499城山1线,117375065288345538,陕西.星城变1号主变-高,117375065288349008,陕西.南山变1号主变
116812115334925421,314100城山2线,117375065288345538,陕西.星城变1号主变-高,117375065288349008,陕西.南山变1号主变
116812115334925423,30610城南1线,117375065288345538,陕西.星城变1号主变-高,117375065288343746,陕西.南郊变1号主变-高
116812115334925425,3S2102城南2线,117375065288345538,陕西.星城变1号主变-高,117375065288343746,陕西.南郊变1号主变-高
116812115334925431,31499山城1线,117375065288349008,陕西.南山变1号主变,117375065288345538,陕西.星城变1号主变-高
116812115334925436,31524滈山1线,117375065288349009,陕西.滈河变1号主变,117375065288349008,陕西.南山变1号主变
116812115334925437,31525滈山2线,117375065288349009,陕西.滈河变1号主变,117375065288349008,陕西.南山变1号主变
116812115334925469,314102咸鹤1线,117375065288345400,陕西.咸林变2号主变-高,117375065288346015,陕西.鹤城变1号主变-高
116812115334925470,3S1802张江1线,117375065288343731,陕西.张村变1号主变-高,117375065288346519,陕西.丹江电厂0号启备变-高
116812115334925474,3153黄沮1线,117375065288343568,陕西.黄陵变1号主变-高,117375065288345635,陕西.沮河电厂0号启备变-高
116812115334925477,3154黄沮2线,117375065288343568,陕西.黄陵变1号主变-高,117375065288345635,陕西.沮河电厂0号启备变-高
116812115334925509,3S1810统夏2线,117375065288346459,陕西.统万变1号主变-高,117375065288346599,陕西.夏州变1号站用变-高
116812115334925510,3S1809边夏2线,117375065288345637,陕西.定边变1号主变-高,117375065288346599,陕西.夏州变1号站用变-高
116812115334925511,3155统夏1线,117375065288346459,陕西.统万变1号主变-高,117375065288346599,陕西.夏州变1号站用变-高
116812115334925512,3S1808边夏1线,117375065288345637,陕西.定边变1号主变-高,117375065288346599,陕西.夏州变1号站用变-高
116812115334925547,31513凌段线,117375065288345673,陕西.杨凌热电厂1号启备变-高,117375065288343652,陕西.段家变1号主变-高
116812115334925549,31514凌庄1线,117375065288345673,陕西.杨凌热电厂1号启备变-高,117375065288343634,陕西.庄头变1号主变-高
116812115334925551,31515凌庄2线,117375065288345673,陕西.杨凌热电厂1号启备变-高,117375065288343634,陕西.庄头变1号主变-高
116812115334925553,31496凌汤线,117375065288345673,陕西.杨凌热电厂1号启备变-高,117375065288343617,陕西.汤峪变1号主变-高
116812115334925589,3821西高线,117375065288344593,陕西.西庄变1号主变-高,117375065288343712,陕西.高明变1号主变-高
116812115334925591,31523西禹2线,117375065288344593,陕西.西庄变1号主变-高,117375065288343939,陕西.韩城二厂01A号启备变-高
116812115334925613,31533郝元线,117375065288344703,陕西.郝家变1号主变-高,117375065288345719,陕西.新元洁能电厂0号启备变-高
116812115334925614,31533元郝线,117375065288345719,陕西.新元洁能电厂0号启备变-高,117375065288344703,陕西.郝家变1号主变-高
116812115334925646,3S2298滈南临线,117375065288349009,陕西.滈河变1号主变,117375065288343746,陕西.南郊变1号主变-高
116812115334925647,31527上滈2线,117375065288345837,陕西.滈河变1号主变-高,117375065288345509,陕西.上苑变1号主变-高
116812115334925648,31527滈上2线,117375065288349009,陕西.滈河变1号主变,117375065288345509,陕西.上苑变1号主变-高
116812115334925677,31636边尖线,117375065288345637,陕西.定边变1号主变-高,117375065288346247,陕西.尖山变2号主变-高
116812115334925678,3S1807渠夏线,117375065288346599,陕西.夏州变1号站用变-高,117375065288346599,陕西.夏州变1号站用变-高
116812115334925741,31610柳锦2线,117375065288346462,陕西.西柳变1号动力变-高,117375065288345865,陕西.锦阳电厂1号启备变-高
116812115334925742,31610柳锦2线,117375065288346462,陕西.西柳变1号动力变-高,117375065288345865,陕西.锦阳电厂1号启备变-高
116812115334925765,3793柳塬1线,117375065288346462,陕西.西柳变1号动力变-高,117375065288343990,陕西.东塬变1号主变-高
